,title,revenue,user_rating,votes,year,source,genre,director,runtime_in_minutes
228,Waste Land (film),,90,"5,000+ Ratings",2010,RT,Documentary,"['Lucy Walker', 'Karen Harley', 'João Jardim']",98
208,Sound City (film),0.34,90,"5,000+ Ratings",2013,RT,Documentary,['Dave Grohl'],108
243,Taxi to the Dark Side,17.15,90,"5,000+ Ratings",2007,RT,Documentary,['Alex Gibney'],106
204,The Tale of the Princess Kaguya (film),0.74,90,"10,000+ Ratings",2013,RT,Fantasy,['Isao Takahata'],137
358,The Big Heat,,90,"5,000+ Ratings",1953,RT,Crime,['Fritz Lang'],90
207,The Square (2013 film),0.74,90,"5,000+ Ratings",2013,RT,Documentary,['Jehane Noujaim'],104
237,Still Walking (film),,90,"2,500+ Ratings",2008,RT,Drama,['Hirokazu Koreeda'],114
306,Love and Death,95.41,90,"10,000+ Ratings",1975,RT,Comedy,['Woody Allen'],85
287,My Life as a Dog,18.85,90,"5,000+ Ratings",1985,RT,Comedy,['Lasse Hallström'],100
409,After the Thin Man,,90,"2,500+ Ratings",1936,RT,Comedy,['W. S. Van Dyke II'],113
112,John Mulaney: Kid Gorgeous at Radio City,45.73,90,100+ Ratings,2018,RT,Comedy,['Alex Timbers'],64
148,Long Strange Trip,0.01,90,"1,000+ Ratings",2017,RT,Documentary,['Amir Bar-Lev'],238
359,I Vitelloni,,90,"5,000+ Ratings",1953,RT,Comedy,['Federico Fellini'],103
411,Top Hat,,90,"5,000+ Ratings",1935,RT,Musical,['Mark Sandrich'],99
70,A Secret Love (film),1.05,90,100+ Ratings,2020,RT,Documentary,['Chris Bolan'],83
37,The Summit of the Gods (film),0.02,90,50+ Ratings,2021,RT,Adventure,['Patrick Imbert'],90
120,Bathtubs Over Broadway,5.11,90,100+ Ratings,2018,RT,Documentary,['Dava Whisenant'],87
232,Passing Strange (musical),5.28,90,500+ Ratings,2009,RT,Musical,['Spike Lee'],136
386,Laura (1944 film),,90,"10,000+ Ratings",1944,RT,Mystery &amp; thriller,['Otto Preminger'],88
58,"Quo Vadis, Aida?",0.9,90,100+ Ratings,2020,RT,Drama,['Jasmila Zbanic'],102
394,Sullivan's Travels,55.41,89,"5,000+ Ratings",1941,RT,Comedy,['Preston Sturges'],91
32,Not Going Quietly,,89,Fewer than 50 Ratings,2021,RT,Documentary,['Nicholas Bruckman'],96
405,Holiday (1938 film),,89,"5,000+ Ratings",1938,RT,Romance,['George Cukor'],93
291,The Terminator,25.63,89,"250,000+ Ratings",1984,RT,Sci-fi,['James Cameron'],108
412,L'Atalante,11.9,89,"5,000+ Ratings",1934,RT,Romance,['Jean Vigo'],89
377,Quai des Orfèvres,,89,"1,000+ Ratings",1947,RT,Crime,['Henri-Georges Clouzot'],110
147,Chasing Coral,0.01,89,500+ Ratings,2017,RT,Documentary,['Jeff Orlowski'],93
410,Captain Blood (1935 film),,89,"5,000+ Ratings",1935,RT,Adventure,['Michael Curtiz'],119
139,Let It Fall: Los Angeles 1982–1992,0.01,89,100+ Ratings,2017,RT,Documentary,['John Ridley'],140
404,The Adventures of Robin Hood,,89,"25,000+ Ratings",1938,RT,Adventure,"['Michael Curtiz', 'William Keighley']",102
382,The Killers (1946 film),,89,"2,500+ Ratings",1946,RT,Crime,['Robert Siodmak'],105
389,Shadow of a Doubt,,89,"10,000+ Ratings",1943,RT,Crime,['Alfred Hitchcock'],108
183,Older Than Ireland (page does not exist),0.04,89,100+ Ratings,2015,RT,Documentary,['Alex Fegan'],81
196,Glen Campbell: I'll Be Me,0.05,89,"2,500+ Ratings",2014,RT,Documentary,['James Keach'],105
312,The Last Picture Show,0.08,89,"10,000+ Ratings",1971,RT,Drama,['Peter Bogdanovich'],118
246,Deliver Us from Evil (2006 film),0.01,89,"10,000+ Ratings",2006,RT,Documentary,['Amy Berg'],103
191,Next Goal Wins (2014 film),0.05,89,500+ Ratings,2014,RT,Documentary,"['Mike Brett', 'Steve Jamison']",96
259,4 Little Girls,37.42,89,"5,000+ Ratings",1997,RT,Documentary,['Spike Lee'],102
393,Ball of Fire,2753.93,89,"2,500+ Ratings",1941,RT,Comedy,['Howard Hawks'],111
316,Salesman (1969 film),103.82,89,"1,000+ Ratings",1969,RT,Documentary,"['Albert Maysles', 'David Maysles', 'Charlotte Zwerin']",90
375,The Fallen Idol (film),,88,"1,000+ Ratings",1948,RT,Mystery &amp; thriller,['Carol Reed'],94
416,Mädchen in Uniform,13.19,88,500+ Ratings,1931,RT,Drama,['Leontine Sagan'],90
400,The Grapes of Wrath (film),69.19,88,"10,000+ Ratings",1940,RT,Drama,['John Ford'],129
87,"Scream, Queen! My Nightmare on Elm Street",0.02,88,50+ Ratings,2019,RT,Documentary,"['Roman Chimienti', 'Tyler Jensen']",99
25,Woodlands Dark and Days Bewitched: A History of Folk Horror (page does not exist),6.0,88,Fewer than 50 Ratings,2021,RT,Documentary,['Kier-La Janisse'],194
74,Oliver Sacks: His Own Life,0.85,88,Fewer than 50 Ratings,2019,RT,Documentary,['Ric Burns'],114
